n_top,n_bottom,n_outerwear,n_shoes,n_dress,n_accessory,n_total,frac_tshirt,frac_outerwear,frac_winter,frac_formal,n_colors,has_neutral,ghost_ratio,manca_capospalla,manca_scarpe,manca_formale,manca_invernale,troppe_tshirt,poca_varieta_colori,profile
6,12,0,1,2,0,21,0.2857,0.0,0.0,0.0952,2,0.0,0.13,1,1,0,1,0,1,summer_only
4,1,0,0,0,0,5,0.6,0.0,0.0,0.2,5,1.0,0.2262,1,1,1,0,1,0,minimal
16,7,1,3,0,2,29,0.2069,0.0345,0.2069,0.1379,11,1.0,0.0779,1,0,0,0,0,0,balanced
9,9,6,2,0,3,29,0.1034,0.2069,0.3793,0.3103,5,1.0,0.0389,0,0,0,0,0,0,balanced
19,5,0,6,0,0,30,0.5333,0.0,0.0,0.0,12,1.0,0.0433,1,0,1,1,1,0,tshirt_heavy
12,5,8,2,4,0,31,0.0,0.2581,0.2581,0.7097,3,1.0,0.1065,0,0,0,0,0,0,formal
24,5,0,2,0,0,31,0.6452,0.0,0.0,0.0,1,0.0,0.3907,1,0,1,1,1,1,tshirt_heavy
6,8,11,1,4,0,30,0.0,0.3667,0.3667,0.6333,6,1.0,0.149,0,1,0,0,0,0,formal
1,4,0,0,0,0,5,0.2,0.0,0.0,0.0,3,1.0,0.2013,1,1,1,0,0,0,minimal
12,11,2,8,0,1,34,0.1471,0.0588,0.1471,0.0882,9,1.0,0.3203,1,0,0,0,0,0,balanced
13,5,2,6,5,0,31,0.0968,0.0645,0.2581,0.2581,10,1.0,0.4003,1,0,0,0,0,0,balanced
6,7,7,5,4,0,29,0.0,0.2414,0.2414,0.5172,8,1.0,0.2336,0,0,0,0,0,0,formal
15,5,3,4,1,2,30,0.2667,0.1,0.3,0.1333,2,1.0,0.0542,0,0,0,0,0,1,balanced
2,0,0,1,0,0,3,0.6667,0.0,0.0,0.0,3,1.0,0.5017,1,1,1,0,0,0,minimal
19,8,1,2,4,4,38,0.2105,0.0263,0.0526,0.1842,2,1.0,0.1117,1,0,0,1,0,1,random
11,5,4,5,5,0,30,0.0,0.1333,0.1333,0.6333,8,1.0,0.3247,0,0,0,0,0,0,formal
12,0,4,3,3,0,22,0.0,0.1818,0.1818,0.7727,5,1.0,0.5192,0,0,0,0,0,0,formal
20,10,0,4,0,0,34,0.3529,0.0,0.0,0.0,4,1.0,0.3056,1,0,1,1,0,0,tshirt_heavy
8,8,2,3,0,1,22,0.1364,0.0909,0.2727,0.1364,5,1.0,0.4379,1,0,0,0,0,0,balanced
14,7,4,2,2,2,31,0.129,0.129,0.3548,0.2581,1,1.0,0.279,0,0,0,0,0,1,balanced
9,3,2,2,0,3,19,0.0526,0.1053,0.4737,0.1579,2,0.0,0.2899,0,0,0,0,0,1,random
8,7,0,4,2,0,21,0.381,0.0,0.0,0.0952,9,1.0,0.352,1,0,0,1,0,0,summer_only
13,5,4,1,1,0,24,0.1667,0.1667,0.25,0.2917,13,1.0,0.2229,0,1,0,0,0,0,balanced
17,6,1,3,1,2,30,0.3333,0.0333,0.2333,0.1667,7,1.0,0.2715,1,0,0,0,0,0,balanced
0,2,0,2,0,0,4,0.0,0.0,0.0,0.0,4,1.0,0.2668,1,0,1,0,0,0,minimal
8,8,2,2,0,9,29,0.0,0.069,0.3103,0.069,6,1.0,0.2693,1,0,0,0,0,0,random
1,2,0,0,0,0,3,0.3333,0.0,0.0,0.0,1,0.0,0.1384,1,1,1,0,0,1,minimal
7,9,4,2,4,0,26,0.0,0.1538,0.1538,0.4615,13,1.0,0.2688,0,0,0,0,0,0,formal
1,0,0,0,0,0,1,0.0,0.0,0.0,1.0,1,1.0,0.4959,1,1,1,0,1,1,minimal
10,3,2,2,2,2,21,0.1905,0.0952,0.2857,0.2857,1,0.0,0.3378,1,0,0,0,0,1,random
10,5,0,6,2,0,23,0.4348,0.0,0.0,0.087,12,1.0,0.2537,1,0,0,1,1,0,summer_only
10,11,0,3,1,0,25,0.4,0.0,0.0,0.04,10,1.0,0.4072,1,0,1,1,0,0,summer_only
21,7,0,1,0,0,29,0.5172,0.0,0.0,0.0,13,1.0,0.2258,1,1,1,1,1,0,tshirt_heavy
5,9,0,2,2,0,18,0.2778,0.0,0.0,0.1111,11,1.0,0.1069,1,0,0,1,0,0,summer_only
7,7,4,2,1,4,25,0.12,0.16,0.4,0.24,10,1.0,0.4131,0,0,0,0,0,0,balanced
16,5,7,4,1,2,35,0.0571,0.2,0.4571,0.3429,5,1.0,0.0952,0,0,0,0,0,0,balanced
12,12,0,4,1,0,29,0.4138,0.0,0.0,0.0345,4,1.0,0.2931,1,0,1,1,1,0,summer_only
17,4,0,2,0,0,23,0.6087,0.0,0.0,0.0,3,1.0,0.1776,1,0,1,1,1,0,tshirt_heavy
2,4,0,1,0,0,7,0.1429,0.0,0.0,0.1429,6,1.0,0.0067,1,1,1,1,0,1,minimal
13,2,8,3,0,2,28,0.1429,0.2857,0.5714,0.2143,10,1.0,0.0458,0,0,0,0,0,0,balanced
7,8,1,1,0,1,18,0.1111,0.0556,0.1111,0.2778,12,1.0,0.3656,1,1,0,1,0,0,random
9,10,0,1,1,0,21,0.4286,0.0,0.0,0.0476,9,1.0,0.7964,1,1,1,1,1,0,summer_only
6,9,0,1,4,0,20,0.3,0.0,0.0,0.2,5,1.0,0.5187,1,1,0,1,0,0,summer_only
2,1,0,3,0,0,6,0.1667,0.0,0.0,0.1667,4,1.0,0.6244,1,0,1,1,0,0,minimal
1,2,0,1,0,0,4,0.25,0.0,0.0,0.0,4,1.0,0.7929,1,1,1,0,0,0,minimal
22,6,0,2,0,0,30,0.5333,0.0,0.0,0.0,11,1.0,0.2631,1,0,1,1,1,0,tshirt_heavy
13,7,0,2,2,0,24,0.5417,0.0,0.0,0.0833,7,1.0,0.348,1,0,0,1,1,0,summer_only
12,7,5,3,0,1,28,0.3571,0.1786,0.2857,0.1429,11,1.0,0.2311,0,0,0,0,0,0,balanced
2,0,0,1,0,0,3,0.3333,0.0,0.0,0.3333,1,0.0,0.4851,1,1,1,0,0,1,minimal
10,4,4,4,0,0,22,0.1364,0.1818,0.3182,0.1364,5,1.0,0.3755,0,0,0,0,0,0,balanced
10,4,3,6,1,1,25,0.16,0.12,0.2,0.36,2,1.0,0.1337,0,0,0,0,0,1,balanced
12,4,3,3,2,0,24,0.0,0.125,0.125,0.625,5,1.0,0.2034,0,0,0,0,0,0,formal
4,10,4,1,5,0,24,0.0,0.1667,0.1667,0.5,2,0.0,0.2771,0,1,0,0,0,1,formal
7,6,2,3,1,4,23,0.0,0.087,0.2174,0.0435,2,1.0,0.1522,1,0,1,0,0,1,random
7,7,3,2,0,4,23,0.0,0.1304,0.2174,0.2174,12,1.0,0.0395,0,0,0,0,0,0,random
3,2,0,0,0,0,5,0.6,0.0,0.0,0.0,5,1.0,0.3867,1,1,1,0,1,0,minimal
3,0,0,2,0,0,5,0.6,0.0,0.0,0.0,3,1.0,0.4047,1,0,1,0,1,0,minimal
11,4,13,2,1,4,35,0.1143,0.3714,0.4571,0.1714,8,1.0,0.2888,0,0,0,0,0,0,random
16,5,6,6,1,1,35,0.2571,0.1714,0.2857,0.2286,7,1.0,0.2631,0,0,0,0,0,0,balanced
14,4,0,3,1,2,24,0.2917,0.0,0.1667,0.0833,5,1.0,0.4171,1,0,0,0,0,0,random
3,12,2,5,8,5,35,0.0,0.0571,0.0857,0.2571,1,1.0,0.1374,1,0,0,0,0,1,random
6,7,9,3,1,0,26,0.1154,0.3462,0.3462,0.3077,2,1.0,0.1981,0,0,0,0,0,1,random
8,8,0,2,3,0,21,0.381,0.0,0.0,0.1429,10,1.0,0.0385,1,0,0,1,0,0,summer_only
5,6,1,3,4,0,19,0.1053,0.0526,0.1579,0.3158,6,1.0,0.1511,1,0,0,0,0,0,random
10,6,6,1,3,0,26,0.0,0.2308,0.2308,0.6923,11,1.0,0.2963,0,1,0,0,0,0,formal
1,0,0,1,0,0,2,0.5,0.0,0.0,0.0,2,1.0,0.1982,1,1,1,0,0,1,minimal
2,3,4,1,1,3,14,0.0,0.2857,0.4286,0.4286,13,1.0,0.5214,0,1,0,0,0,0,random
10,14,0,3,3,0,30,0.3333,0.0,0.0,0.1,6,1.0,0.1157,1,0,0,1,0,0,summer_only
10,8,5,5,3,2,33,0.1515,0.1515,0.2727,0.2121,10,1.0,0.0864,0,0,0,0,0,0,balanced
4,7,0,2,2,0,15,0.2667,0.0,0.0,0.1333,7,1.0,0.5777,1,0,0,1,0,0,summer_only
12,7,2,4,2,0,27,0.0,0.0741,0.0741,0.5926,11,1.0,0.3265,1,0,0,1,0,0,formal
5,2,7,6,6,2,28,0.0714,0.25,0.3214,0.5357,13,1.0,0.4249,0,0,0,0,0,0,random
3,1,0,0,0,0,4,0.75,0.0,0.0,0.0,2,1.0,0.1909,1,1,1,0,0,1,minimal
7,5,2,0,4,0,18,0.0,0.1111,0.1111,0.7222,11,1.0,0.2182,0,1,0,0,0,0,formal
16,8,0,2,0,0,26,0.5,0.0,0.0,0.0,12,1.0,0.5964,1,0,1,1,1,0,tshirt_heavy
4,0,0,1,0,0,5,0.4,0.0,0.0,0.4,3,1.0,0.1606,1,1,0,0,0,0,minimal
10,6,0,2,0,0,18,0.5556,0.0,0.0,0.0,5,1.0,0.203,1,0,1,1,1,0,tshirt_heavy
4,7,4,2,0,7,24,0.0,0.1667,0.2917,0.0,10,1.0,0.3501,0,0,1,0,0,0,random
3,1,0,1,0,0,5,0.4,0.0,0.0,0.2,1,0.0,0.3173,1,1,1,0,0,1,minimal
1,1,0,2,0,0,4,0.0,0.0,0.0,0.25,4,1.0,0.2396,1,0,1,0,0,0,minimal
12,2,0,3,0,0,17,0.5882,0.0,0.0,0.0,12,1.0,0.1565,1,1,1,1,1,0,tshirt_heavy
8,13,0,3,1,0,25,0.32,0.0,0.0,0.04,8,1.0,0.1276,1,0,1,1,0,0,summer_only
8,2,1,6,0,3,20,0.1,0.05,0.45,0.0,4,0.0,0.2481,1,0,1,0,0,1,random
4,4,5,6,7,0,26,0.0,0.1923,0.1923,0.4615,4,1.0,0.5291,0,0,0,0,0,0,formal
10,6,3,2,0,2,23,0.2174,0.1304,0.2609,0.1739,3,1.0,0.1212,0,0,0,0,0,0,balanced
15,6,1,6,0,2,30,0.2,0.0333,0.2,0.1667,7,1.0,0.2854,1,0,0,0,0,0,balanced
16,3,6,4,0,1,30,0.2667,0.2,0.3333,0.2333,6,1.0,0.113,0,0,0,1,0,0,balanced
14,7,3,4,2,2,32,0.1875,0.0938,0.25,0.2188,12,1.0,0.2745,1,0,0,0,0,0,balanced
8,5,9,0,0,1,23,0.0,0.3913,0.4783,0.2609,6,1.0,0.187,0,1,0,0,0,0,random
10,8,2,3,0,3,26,0.1538,0.0769,0.2308,0.1538,8,1.0,0.1368,1,0,0,0,1,0,balanced
8,9,0,1,4,0,22,0.3636,0.0,0.0,0.1818,10,1.0,0.4439,1,1,0,1,0,0,summer_only
13,11,0,3,0,0,27,0.3704,0.0,0.0,0.0,7,1.0,0.3767,1,0,1,1,0,0,tshirt_heavy
2,3,0,1,0,0,6,0.3333,0.0,0.0,0.0,1,0.0,0.1504,1,1,1,1,0,1,minimal
7,11,3,1,2,0,24,0.0,0.125,0.125,0.4167,12,1.0,0.2279,0,1,0,0,1,0,formal
6,7,4,2,0,0,19,0.0,0.2105,0.2632,0.4211,3,1.0,0.0774,0,0,0,0,0,0,balanced
2,0,0,0,0,0,2,1.0,0.0,0.0,0.0,1,0.0,0.0683,1,1,1,0,0,1,minimal
2,2,0,1,0,0,5,0.2,0.0,0.0,0.2,1,0.0,0.3744,1,1,1,0,0,1,minimal
1,1,0,0,0,0,2,0.5,0.0,0.0,0.0,2,1.0,0.41,1,1,1,0,0,1,minimal
14,9,5,1,2,1,32,0.0312,0.1562,0.4688,0.2812,8,1.0,0.4079,0,1,0,0,0,0,random
4,0,0,2,0,0,6,0.5,0.0,0.0,0.1667,6,1.0,0.0339,1,0,1,1,1,0,minimal
18,8,0,7,0,0,33,0.5152,0.0,0.0,0.0,10,1.0,0.062,1,0,1,1,1,0,tshirt_heavy
14,4,2,4,1,6,31,0.2258,0.0645,0.3548,0.129,1,0.0,0.1831,1,0,0,0,0,1,balanced
27,8,0,4,0,0,39,0.5897,0.0,0.0,0.0,3,0.0,0.291,1,0,1,1,1,1,tshirt_heavy
2,1,0,1,0,0,4,0.25,0.0,0.0,0.25,4,1.0,0.1729,1,1,1,0,0,0,minimal
11,5,3,3,0,1,23,0.2609,0.1304,0.2174,0.2174,12,1.0,0.3552,0,0,0,0,0,0,balanced
9,6,4,4,7,5,35,0.0286,0.1143,0.2286,0.4571,13,1.0,0.1124,0,0,0,0,0,0,random
10,8,1,2,1,3,25,0.12,0.04,0.24,0.16,5,1.0,0.0768,1,0,0,0,0,0,balanced
4,3,0,1,0,0,8,0.375,0.0,0.0,0.125,2,0.0,0.4063,1,1,1,1,0,1,minimal
3,5,10,5,2,0,25,0.0,0.4,0.4,0.4,6,1.0,0.1956,0,0,0,0,0,0,formal
12,5,5,2,4,0,28,0.0,0.1786,0.1786,0.75,9,1.0,0.7255,0,0,0,0,0,0,formal
9,8,9,4,6,0,36,0.0,0.25,0.25,0.6111,6,1.0,0.4267,0,0,0,0,0,0,formal
23,8,0,2,0,0,33,0.5758,0.0,0.0,0.0,7,1.0,0.2626,1,0,1,1,1,0,tshirt_heavy
7,4,4,3,3,0,21,0.0,0.1905,0.1905,0.619,10,1.0,0.1976,0,0,0,0,0,0,formal
9,2,7,4,5,0,27,0.0,0.2593,0.2593,0.7407,11,1.0,0.4775,0,0,0,0,0,0,formal
6,6,4,6,3,0,25,0.0,0.16,0.16,0.36,9,1.0,0.2243,0,0,0,0,0,0,formal
2,1,0,0,0,0,3,0.6667,0.0,0.0,0.0,3,0.0,0.3246,1,1,1,0,0,1,minimal
8,5,8,0,6,0,27,0.0,0.2963,0.2963,0.6667,8,1.0,0.2995,0,1,0,0,0,0,formal
7,1,3,2,4,0,17,0.0,0.1765,0.1765,0.7647,9,1.0,0.0563,0,0,0,0,0,0,formal
9,7,0,2,1,0,19,0.4737,0.0,0.0,0.0526,4,1.0,0.0177,1,0,1,1,1,0,summer_only
11,1,4,8,0,3,27,0.1481,0.1481,0.4815,0.1481,5,1.0,0.5154,0,0,0,0,0,0,balanced
19,10,0,0,0,0,29,0.5862,0.0,0.0,0.0,6,1.0,0.5384,1,1,1,1,1,0,tshirt_heavy
20,9,0,2,0,0,31,0.5161,0.0,0.0,0.0,5,1.0,0.2791,1,0,1,1,1,0,tshirt_heavy
10,1,1,2,2,13,29,0.0,0.0345,0.2414,0.2414,13,1.0,0.2077,1,0,0,0,0,0,random
3,1,0,1,0,0,5,0.4,0.0,0.0,0.2,2,1.0,0.3116,1,1,1,0,0,1,minimal
16,13,5,1,1,3,39,0.0256,0.1282,0.2051,0.2051,5,1.0,0.1751,0,1,0,0,0,0,random
11,7,2,5,1,2,28,0.1786,0.0714,0.1786,0.25,13,1.0,0.6261,1,0,0,0,0,0,balanced
7,9,0,1,4,0,21,0.3333,0.0,0.0,0.1905,9,1.0,0.2027,1,1,0,1,0,0,summer_only
7,4,4,3,2,0,20,0.0,0.2,0.2,0.6,11,1.0,0.0501,0,0,0,0,0,0,formal
6,11,0,3,7,0,27,0.2222,0.0,0.0,0.2593,10,1.0,0.0716,1,0,0,1,0,0,summer_only
5,5,0,3,3,0,16,0.3125,0.0,0.0,0.1875,1,1.0,0.1526,1,0,0,1,0,1,summer_only
2,0,0,3,0,0,5,0.4,0.0,0.0,0.0,5,1.0,0.0576,1,1,1,0,0,0,minimal
6,1,0,1,0,0,8,0.5,0.0,0.0,0.25,4,1.0,0.2204,1,1,0,1,1,0,minimal
7,10,3,6,1,2,29,0.0345,0.1034,0.2759,0.1724,11,1.0,0.0951,0,0,0,1,0,0,random
6,5,7,6,7,0,31,0.0,0.2258,0.2258,0.5484,1,1.0,0.504,0,0,0,0,0,1,formal
23,10,0,4,0,0,37,0.5405,0.0,0.0,0.0,2,1.0,0.2576,1,0,1,1,1,1,tshirt_heavy
4,1,0,0,0,0,5,0.6,0.0,0.0,0.2,5,1.0,0.1685,1,1,1,0,1,0,minimal
10,8,0,0,1,7,26,0.1923,0.0,0.1154,0.0769,10,1.0,0.0668,1,1,0,0,0,0,random
14,11,5,7,5,0,42,0.0,0.119,0.119,0.5,13,1.0,0.3815,0,0,0,0,0,0,formal
10,14,0,1,1,1,27,0.0741,0.0,0.037,0.2593,8,1.0,0.4853,1,1,0,1,0,0,balanced
2,6,5,0,0,7,20,0.05,0.25,0.4,0.15,11,1.0,0.2935,0,1,0,0,0,0,random
6,4,0,7,3,0,20,0.3,0.0,0.0,0.15,11,1.0,0.4319,1,0,0,1,0,0,summer_only
12,10,8,0,0,2,32,0.0312,0.25,0.5312,0.1562,6,1.0,0.2481,0,1,0,0,0,0,random
8,6,0,3,2,0,19,0.4211,0.0,0.0,0.1053,8,1.0,0.1828,1,0,0,1,1,0,summer_only
23,8,0,1,0,0,32,0.625,0.0,0.0,0.0,10,1.0,0.1009,1,1,1,1,1,0,tshirt_heavy
23,7,0,3,0,0,33,0.5455,0.0,0.0,0.0,10,1.0,0.0864,1,0,1,1,1,0,tshirt_heavy
15,5,0,5,0,0,25,0.56,0.0,0.0,0.0,13,1.0,0.2732,1,0,1,1,1,0,tshirt_heavy
22,10,0,1,0,0,33,0.4848,0.0,0.0,0.0,1,1.0,0.3167,1,1,1,1,1,1,tshirt_heavy
5,6,0,3,4,0,18,0.2778,0.0,0.0,0.2222,13,1.0,0.4171,1,0,0,1,0,0,summer_only
10,6,5,7,5,0,33,0.0,0.1515,0.1515,0.5152,7,1.0,0.0939,0,0,0,0,0,0,formal
11,1,0,2,6,0,20,0.55,0.0,0.0,0.3,1,0.0,0.1557,1,0,0,1,1,1,summer_only
26,5,0,1,0,0,32,0.625,0.0,0.0,0.0,13,1.0,0.0292,1,1,1,1,1,0,tshirt_heavy
13,6,3,1,2,0,25,0.16,0.12,0.32,0.2,9,1.0,0.0278,0,1,0,0,0,0,balanced
17,8,3,2,4,4,38,0.1316,0.0789,0.2105,0.3421,6,1.0,0.3968,1,0,0,0,0,0,random
11,5,7,5,3,0,31,0.0,0.2258,0.2258,0.6129,13,1.0,0.1304,0,0,0,0,0,0,formal
20,9,0,6,0,0,35,0.4571,0.0,0.0,0.0,4,0.0,0.2867,1,0,1,1,1,1,tshirt_heavy
3,1,0,1,0,0,5,0.2,0.0,0.0,0.4,2,1.0,0.2851,1,1,0,0,0,1,minimal
12,8,0,4,2,0,26,0.4615,0.0,0.0,0.0769,3,1.0,0.4696,1,0,0,1,1,0,summer_only
9,8,8,3,2,0,30,0.0,0.2667,0.2667,0.5,1,1.0,0.0773,0,0,0,0,0,1,formal
5,2,4,1,6,0,18,0.0,0.2222,0.2222,0.7778,8,1.0,0.2541,1,1,0,0,0,0,formal
12,8,6,3,1,0,30,0.0,0.2,0.2,0.6,13,1.0,0.2044,0,0,0,0,0,0,formal
12,12,1,8,0,0,33,0.1212,0.0303,0.1515,0.0606,12,1.0,0.0726,1,0,0,0,0,0,balanced
10,19,1,1,0,2,33,0.0909,0.0303,0.0909,0.0606,11,1.0,0.6726,1,1,0,0,0,0,random
5,12,7,1,2,3,30,0.0333,0.2333,0.3,0.2333,13,1.0,0.3005,0,1,0,0,0,0,random
4,2,0,1,0,0,7,0.5714,0.0,0.0,0.0,3,0.0,0.1241,1,1,1,1,1,1,minimal
2,3,0,0,0,0,5,0.4,0.0,0.0,0.0,5,1.0,0.2043,1,1,1,0,0,0,minimal
14,9,6,2,1,3,35,0.1429,0.1714,0.3143,0.2571,13,1.0,0.6779,0,0,0,0,0,0,balanced
10,4,5,4,3,0,26,0.0,0.1923,0.1923,0.6538,10,1.0,0.5164,0,0,0,1,0,0,formal
0,2,0,2,0,0,4,0.0,0.0,0.0,0.0,3,1.0,0.1023,1,0,1,0,0,0,minimal
2,2,0,2,0,0,6,0.3333,0.0,0.0,0.0,2,1.0,0.4064,1,0,1,1,0,1,minimal
7,7,0,3,5,0,22,0.3182,0.0,0.0,0.2273,11,1.0,0.2333,1,0,0,1,0,0,summer_only
14,10,6,7,2,0,39,0.0,0.1538,0.1538,0.5385,12,1.0,0.4438,0,0,0,0,0,0,formal
20,5,0,3,0,0,28,0.6071,0.0,0.0,0.0,9,1.0,0.3318,1,0,1,1,1,0,tshirt_heavy
4,6,3,3,7,0,23,0.0,0.1304,0.1304,0.4783,5,1.0,0.2097,0,0,0,0,0,0,formal
1,1,0,0,0,0,2,0.5,0.0,0.0,0.0,2,1.0,0.4922,1,1,1,0,0,1,minimal
20,4,4,4,1,0,33,0.2727,0.1212,0.303,0.2424,6,1.0,0.1287,0,0,0,0,0,0,balanced
19,6,0,1,0,0,26,0.6538,0.0,0.0,0.0,13,1.0,0.3316,1,1,1,1,1,0,tshirt_heavy
5,9,0,3,2,0,19,0.2632,0.0,0.0,0.1053,4,1.0,0.3075,1,0,0,1,0,0,summer_only
0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.2961,1,1,1,0,0,1,minimal
7,3,5,3,2,0,20,0.0,0.25,0.25,0.6,8,1.0,0.2478,0,0,1,0,0,0,formal
10,4,6,4,8,0,32,0.0,0.1875,0.1875,0.7188,3,1.0,0.2218,0,0,0,0,0,0,formal
6,6,7,6,12,3,40,0.0,0.175,0.25,0.425,13,1.0,0.149,0,0,0,0,0,0,random
8,5,6,4,1,0,24,0.0,0.25,0.25,0.5,8,1.0,0.2394,0,0,0,0,0,0,formal
8,6,6,6,4,0,30,0.0,0.2,0.2,0.5333,7,1.0,0.2731,0,0,0,0,0,0,formal
8,10,5,3,1,4,31,0.0645,0.1613,0.2258,0.1613,1,0.0,0.4803,0,0,0,0,0,1,random
5,2,0,3,0,0,10,0.5,0.0,0.0,0.0,3,1.0,0.0645,1,0,1,1,1,0,minimal
8,8,6,5,0,3,30,0.1333,0.2,0.3333,0.1333,7,1.0,0.4724,0,0,0,0,0,0,balanced
3,0,0,0,0,0,3,1.0,0.0,0.0,0.0,3,0.0,0.2301,1,1,1,0,0,1,minimal
21,5,2,4,1,2,35,0.2,0.0571,0.2286,0.1714,10,1.0,0.3407,1,0,0,0,0,0,balanced
17,3,0,4,0,0,24,0.5833,0.0,0.0,0.0,9,1.0,0.0313,1,0,1,1,1,0,tshirt_heavy
13,8,0,5,3,1,30,0.1333,0.0,0.1333,0.2,2,1.0,0.1243,1,0,0,0,0,1,balanced
11,8,9,2,4,0,34,0.0,0.2647,0.2647,0.5882,3,1.0,0.275,0,0,0,0,0,0,formal
5,5,5,5,4,0,24,0.0,0.2083,0.2083,0.5,10,1.0,0.3414,0,0,0,0,0,0,formal
22,8,0,0,0,0,30,0.5333,0.0,0.0,0.0,8,1.0,0.0976,1,1,1,1,1,0,tshirt_heavy
10,12,9,3,2,7,43,0.093,0.2093,0.3721,0.1163,2,1.0,0.1932,0,0,0,0,0,1,random
8,6,7,3,2,0,26,0.0,0.2692,0.2692,0.5,13,1.0,0.3857,0,0,0,0,0,0,formal
4,1,0,1,0,0,6,0.5,0.0,0.0,0.1667,1,0.0,0.2279,1,1,1,1,1,1,minimal
5,8,4,7,3,0,27,0.0,0.1481,0.1481,0.4074,12,1.0,0.1735,0,0,0,0,0,0,formal
2,1,0,1,0,0,4,0.25,0.0,0.0,0.25,1,0.0,0.0797,1,1,1,0,0,1,minimal
16,6,4,0,0,2,28,0.25,0.1429,0.3571,0.1786,1,0.0,0.1013,0,1,0,0,0,1,balanced
8,6,7,2,7,0,30,0.0,0.2333,0.2333,0.6667,6,1.0,0.2017,0,0,0,0,0,0,formal
0,2,0,1,0,0,3,0.0,0.0,0.0,0.0,2,0.0,0.1756,1,1,1,0,0,1,minimal
9,10,2,1,2,3,27,0.1481,0.0741,0.2222,0.2593,4,1.0,0.2322,1,1,0,0,0,0,balanced
12,7,0,4,2,0,25,0.48,0.0,0.0,0.08,1,0.0,0.1259,1,0,0,1,1,1,summer_only
8,7,0,0,1,0,16,0.5,0.0,0.0,0.0625,8,1.0,0.3096,1,1,1,1,1,0,summer_only
13,5,2,5,0,1,26,0.1923,0.0769,0.3462,0.0769,1,0.0,0.18,1,0,0,0,0,1,balanced
